"id","category","selected_part","variant","qty","unit_price_cny","extended_cny","budget_confidence","source_url","taobao_query","mechanical_interface","mechanical_status","notes"
"CTRL-01","Controller","Ai-Thinker NodeMCU-32S ESP32 development board","ESP-WROOM-32; CP2102; 38-pin","1","23.86","23.86","taobao_indexed_generic_unverified","https://tao.hooos.com/tag_cp2102%E9%A9%B1%E5%8A%A8_5.html","NodeMCU-32S CP2102 38针 ESP-WROOM-32","48.26 x 25.40 mm PCB; reserve 55 x 28 x 14 mm","ENVELOPE_READY","Confirm current board revision and USB connector before freezing clips."
"DISP-01","Display","MSP2807 2.8-inch TFT module","ILI9341; SPI; 240 x 320","1","36.30","36.30","taobao_indexed_model_unverified","https://tao.hooos.com/goods_bX3dgoQ9hgtokjqkP0QiyxQuQt6-DokRR8IPPe6DqkQHM.html","MSP2807 ILI9341 SPI 2.8寸 240x320","86 x 50 mm PCB; 57.6 x 43.2 mm active area; reserve 90 x 54 x 12 mm","ENVELOPE_READY","Display remains behind a separate clear window and gasket."
"PH-PROBE-01","pH process probe","BOQU PH8012 industrial pH electrode","0-14 pH; BNC (Q9) variant; 1 m cable requested; upper and lower 3/4 NPT","1","90.00","90.00","quote_cap","https://img.yfisher.com/m6121/1726824698tqn.pdf","博取 PH8012 在线PH电极 3/4NPT BNC 无温补 1米线","27.4 mm maximum body x 161 mm published envelope; two 22 mm NPT zones; 3.5 mm cable; reserve 32 mm tool clearance and 200 mm extraction","INTERFACE_FROZEN_PRICE_OPEN","Manufacturer drawing shows BNC Q9, pin, and Y-plate options. Order BNC and obtain a photo of the exact cable/connector variant."
"PH-FE-01","pH signal conditioning","DFRobot Gravity Analog pH Sensor V2","SEN0161-V2 kit used for 42 x 32 mm BNC interface board and calibration supplies","1","249.00","249.00","official_store_not_taobao","https://www.dfrobot.com.cn/goods-1828.html","DFRobot SEN0161-V2 模拟pH计 V2","42 x 32 mm PCB; reserve 48 x 38 x 24 mm including BNC bend","ENVELOPE_READY","The included laboratory probe is a diagnostic spare and is not used to define enclosure geometry. Confirm PH8012 BNC compatibility on bench."
"EC-PROBE-01","EC process probe","Winters WTS-SS-1-1-1401 conductivity sensor","K=1; 0.1-20000 uS/cm; Pt1000; 1/2 NPT; request 1 m cable","1","180.00","180.00","quote_cap","https://www.winters.com.cn/upfile/202401/2024010435321481.pdf","WTS-SS-1-1-1401 电导率电极 K1 1/2NPT PT1000","13 mm sensing stem; 1/2 NPT mounting; reserve 30 x 180 mm overall and 200 mm extraction","INTERFACE_FROZEN_PRICE_OPEN","Seller must provide the exact outline drawing and wire assignment. Family data shows 60/120 mm stem options but does not map an exact total length; use the conservative envelope until measured."
"EC-FE-01","EC signal conditioning","Your Cee analog conductivity kit","K=1; 0-20 mS/cm; 0-3.4 V analog","1","186.90","186.90","taobao_indexed_model_unverified","https://tao.hooos.com/goods_623341388528.html","Your Cee K=1 电导率模块 0-20mS 5V 模拟","42 x 32 mm reported PCB; reserve 48 x 38 x 24 mm plus connector bend","ENVELOPE_READY_ELECTRICAL_GATE","The included probe is a bench spare. Verify that excitation method and calibration support the WTS two-electrode cell before use."
"PUMP-01","Sample pump","Conjoin CJWP12 micro diaphragm pump","CJWP12-AB05A 5 V","1","1.20","1.20","planning_value_no_taobao_quote","https://conjoinfluid.com/zh-CN/products/cjwp12-ab","CJWP12-AB05A 5V 微型隔膜水泵","Approx 39 x 21 x 12 mm; reserve 45 x 25 x 18 mm plus 20 mm barb bends","ENVELOPE_READY","Mount downstream of the sensor chamber in an elastomer cradle. Intermittent duty only."
"VALVE-01","Dosing valves","Miniature normally-closed two-way liquid valve","6 V; NC; 3 mm barbs","3","6.98","20.94","indexed_air_valve_mismatch_replace","https://tao.hooos.com/goods_KQbQZMH3t3gdmKSmpjuJtW-QAnppRSbaOyxQ0MsA.html","6V 常闭 微型电磁水阀 3mm 宝塔","Approx 23 x 9 x 11 mm each; reserve 28 x 15 x 15 mm plus tube bends","REPLACE_INDEXED_AIR_VALVE","The indexed listing is marketed primarily for air/vent service. Replace with a seller-confirmed liquid valve; retain this envelope only for a dry mechanical mock-up."
"DRV-01","Load driver","Four-channel opto-isolated MOSFET driver module","4-channel DC low-side; 3.3 V input compatible","1","10.34","10.34","taobao_indexed_model_unverified","https://tao.hooos.com/goods_541617370335.html","4路 MOSFET 模块 3.3V 光耦 隔离","Reserve 70 x 55 x 20 mm on slotted electronics rail","ENVELOPE_READY","Controls sample pump and three valves. Add flyback diodes if absent."
"CELL-01","Battery cells","Lishen LR1865SK 18650 cell","3.7 V; 2600 mAh; matched pair","2","8.50","17.00","taobao_indexed_generic_unverified","https://tao.hooos.com/search?w=2600mAH","力神 LR1865SK 2600mAh 18650 同批次","18.3 mm diameter x 65 mm each","ENVELOPE_READY","Buy one matched pair and keep the pair together."
"HOLDER-01","Battery holder","Two-cell covered 18650 holder","2S series; 7.4 V; cover and switch","1","1.40","1.40","taobao_indexed_generic_unverified","https://tao.hooos.com/tag_18650%E7%94%B5%E6%B1%A0%E4%BB%93%E7%9B%92_1.html","18650 2节 串联 7.4V 带盖 电池盒 开关","Approx 76 x 41 x 21 mm; reserve 82 x 47 x 27 mm","ENVELOPE_READY","Top-access battery hatch; reject parallel 3.7 V version."
"CHG-01","External charger","LiitoKala Lii-202","two-slot; 5 V input","1","34.00","34.00","manufacturer_model_no_taobao_quote","https://www.liito-kala.com/page92?product_id=5","LiitoKala Lii-202 双槽 充电器","Off-device; 116 x 60 x 30 mm","OFF_DEVICE","No charging connector is placed on the floating unit."
"BMS-01","Battery protection","2S Li-ion protection board","7.4/8.4 V; 5 A; common port","1","1.80","1.80","taobao_indexed_generic_unverified","https://tao.hooos.com/goods_eQOjQBMiDt373mwu8XyCzt0-ZWRNNbuA3OMYgYrcq.html","2S 7.4V 8.4V 5A 锂电保护板 同口","Reserve 40 x 25 x 8 mm on slotted rail","ENVELOPE_READY","Electrical protection remains required despite removable charging."
"REG-01","Power conversion","MP1584EN mini buck module","adjustable 3 A","2","3.00","6.00","taobao_indexed_generic_unverified","https://tao.hooos.com/search?w=MP24","MP1584EN mini DC-DC 降压模块","Reserve 28 x 22 x 10 mm each","ENVELOPE_READY","One 5.0 V rail and one 6.0 V rail."
"TUBE-01","Sample tubing","Food-grade silicone tube","2 mm ID x 4 mm OD; 2 m","2","1.00","2.00","taobao_indexed_spec_unverified","https://tao.hooos.com/goods_MPd0Vw9HKtbMRY5FVVDhQtA-DokRR8IPrwVvWZzTa.html","硅胶管 2mm内径 4mm外径 食品级","4 mm OD; 12 mm minimum bend radius","ENVELOPE_READY","Sample inlet and return only."
"TUBE-02","Dosing tubing","PTFE tube","2 mm ID x 4 mm OD; 3 m","3","1.17","3.51","taobao_indexed_generic_unverified","https://tao.hooos.com/tag_%E5%9B%9B%E6%B0%9F%E7%94%B2%E9%86%9A%E8%8F%8A%E9%85%AF_9.html","PTFE管 2mm内径 4mm外径","4 mm OD; 20 mm minimum bend radius","ENVELOPE_READY","Three separate dosing lines."
"ADAPT-PH-01","Sensor mounting insert","Commercial female 3/4 NPT threaded insert or socket","hex or round body capturable in printed cartridge","1","15.00","15.00","allowance","","3/4NPT 内螺纹 直通 接头 镶件 传感器","Reserve 36 mm AF/OD x 32 mm; captured in 54 mm cartridge","INTERFACE_FROZEN_PART_OPEN","Must be a purchased thread. Do not use a printed NPT thread as the only seal."
"ADAPT-EC-01","Sensor mounting insert","Commercial female 1/2 NPT threaded insert or socket","hex or round body capturable in printed cartridge","1","12.00","12.00","allowance","","1/2NPT 内螺纹 直通 接头 镶件 传感器","Reserve 30 mm AF/OD x 28 mm; captured in 54 mm cartridge","INTERFACE_FROZEN_PART_OPEN","Shares the same outer cartridge interface as pH."
"PORT-01","Fluid ports","PP through-panel barbed fitting","M6 or smallest size accepting 4 mm OD tube","8","1.04","8.32","taobao_indexed_generic_unverified","https://tao.hooos.com/tag_%E5%AE%9D%E5%A1%94%E6%8E%A5%E5%A4%B4_40.html","4mm 软管 穿板 宝塔 接头","Cutout and nut envelope require seller drawing","PART_OPEN","Two sample ports plus three concentrate inputs and three dosing outputs."
"MISC-01","Mechanical and electrical consumables","M3 inserts/screws; O-rings; gasket cord; wire; connectors; diodes; passives","allowance","1","25.00","25.00","allowance","","","CAD reserve and prototype hardware","ALLOWANCE","Includes sensor cartridge O-rings and PCB standoffs."
"SUBTOTAL","Parts subtotal","","","","","924.57","","","","","","Before delivery allowance."
"SHIP-01","Delivery allowance","Domestic delivery and seller-to-seller variance","allowance","1","75.00","75.00","allowance","","","","","BUDGET_ALLOWANCE"
"TOTAL","Planning total","","","","","999.57","","","","US$149.24 at 6.6977 CNY/USD","","Enclosure filament is assumed to come from workshop stock; no purchase was made."
